ASVID	Taxon	ScientificName_unique
42633686204a1f47a9cb85a2dfbfb99c	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_9; s__uncultured_bacterium	g__Clostridium_sensu_stricto_9_isolate
8e2131c12d7b74bf8a35b0aec9de8f58	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS_17; g__env.OPS_17	g__env.OPS_17_unknown.1
8aea50e09ca1b87634390163e4882644	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	g__Flavobacterium_unknown.11
1603f5959b28c5d32ad72884eb663158	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	f__Rhodobacteraceae_unknown
bc104ec6a2062dd2276477e2fa0c8ed1	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Brevifollis	g__Brevifollis_unknown
9476a3675a65b54fa2c1cb7775ecbda3	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Candidatus_Peribacteria; f__Candidatus_Peribacteria; g__Candidatus_Peribacteria; s__metagenome	g__Candidatus_Peribacteria_isolate.11
efbe1f58b1e2984ddc53a64f047d94ff	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium	g__Janthinobacterium_unknown.3
b2602b84bff47f2c1c24915f741d956d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	g__Pseudomonas_unknown.560
f34cdcd73e535507d29c29b19d01f658	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhodoferax	g__Rhodoferax_unknown
06b2c0578203ebd7d7925734b914a7e1	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Rhodopirellula	g__Rhodopirellula_unknown
