JarID	Rep	Row	Column	OD_rep	CV	OriginalCV_platecode					
28	Rep6	D	8	3	0.147	Rep56_Jar28					
NA	BLANK	E	8	3	0.117	BLANK					
4	Rep8	F	8	3	0.991	Rep78_Jar4					
5	Rep7	G	8	3	1.062	Rep78_Jar5					
7	Rep8	H	8	3	0.247	Rep78_Jar7					
8	Rep7	A	9	3	0.185	Rep78_Jar8					
9	Rep8	B	9	3	0.141	Rep78_Jar9					
10	Rep7	C	9	3	0.351	Rep78_Jar10					
12	Rep8	D	9	3	1.081	Rep78_Jar12					
14	Rep7	E	9	3	0.149	Rep78_Jar14					
18	Rep8	F	9	3	0.173	Rep78_Jar18					
20	Rep7	G	9	3	0.148	Rep78_Jar20					
21	Rep7	H	9	3	0.119	Rep78_Jar21					
25	Rep8	A	10	3	0.784	Rep78_Jar25					
26	Rep7	B	10	3	0.15	Rep78_Jar26					
28	Rep8	C	10	3	0.276	Rep78_Jar28					
NA	BLANK	D	10	3	0.131	BLANK					
2	Rep9	E	10	3	1.369	Rep910_Jar2					
4	Rep10	F	10	3	0.688	Rep910_Jar4					
5	Rep10	G	10	3	0.494	Rep910_Jar5					
8	Rep9	H	10	3	0.782	Rep910_Jar8					
9	Rep9	A	11	3	0.763	Rep910_Jar9					
10	Rep10	B	11	3	1.144	Rep910_Jar10					
11	Rep9	C	11	3	0.144	Rep910_Jar11					
17	Rep9	D	11	3	0.469	Rep910_Jar17					
18	Rep10	E	11	3	0.662	Rep910_Jar18					
19	Rep9	F	11	3	0.142	Rep910_Jar19					
21	Rep10	G	11	3	0.137	Rep910_Jar21					
22	Rep10	H	11	3	1.02	Rep910_Jar22					
24	Rep10	A	12	3	0.16	Rep910_Jar24					
28	Rep9	B	12	3	1.177	Rep910_Jar28					
NA	BLANK	C	12	3	0.14	BLANK					
NA	BLANK	D	12	3	0.133	BLANK					
NA	BLANK	E	12	3	0.134	BLANK					
NA	BLANK	F	12	3	0.127	BLANK					
NA	BLANK	G	12	3	0.123	BLANK					
NA	BLANK	H	12	3	0.121	BLANK					
