SampleID	JarID	RichLevel	introRich	Rep	DateStart	Inhibitory	Type	13C	20A	2E	2F	2H	32E	33B	33D	34B	34F	35A	35E	37E	37H	45D	50A	50B	BTB_45	BTB_47	20C	20D	21C	24C	24D	24L	25A	25C	32G	35B	36A	36E	36G	40A	40B	45E	47C	49C	54G	BTB_28	BTB_59	volPellet	cClean	sampleID_qPCR
Non_2020-09-28_3_Rep10	10	3	3	Rep10	2020-09-28	Non	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	R10_J10_Pre
Non_2020-09-28_10_Rep10	6	10	10	Rep10	2020-09-28	Non	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	TRUE	NA	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	R10_J6_Bd
Non_2020-09-28_10_Rep10	22	10	10	Rep10	2020-09-28	Non	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	TRUE	NA	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	FALSE	R10_J22_Pre
Con_2020-10-05_0_Rep11	2	0	0	Rep11	2020-10-05	Con	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J2_Bd
Con_2020-10-05_0_Rep11	15	0	0	Rep11	2020-10-05	Con	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J15_Pre
Inhib_2020-10-05_1_Rep11	8	1	1	Rep11	2020-10-05	Inhib	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J8_Bd
Inhib_2020-10-05_1_Rep11	6	1	1	Rep11	2020-10-05	Inhib	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J6_Pre
Inhib_2020-10-05_3_Rep11	11	3	2	Rep11	2020-10-05	Inhib	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J11_Bd
Inhib_2020-10-05_3_Rep11	4	3	2	Rep11	2020-10-05	Inhib	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J4_Pre
Inhib_2020-10-05_10_Rep11	26	10	9	Rep11	2020-10-05	Inhib	Bd	TRUE	TRUE	NA	NA	NA	TRUE	TRUE	NA	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J26_Bd
