Rep	JarID	M_ID	ZS_ID	Diameter	Notes	X	conv_pix_in_0.1mm	diameter_mm	diameter_um	sampleID
Rep1	16	2	25	82.152			1031.2316	0.00796639668528389	7.96639668528389	R1_J16_Bd
Rep1	16	2	26	83.439			1031.2316	0.00809119891205816	8.09119891205816	R1_J16_Bd
Rep1	16	2	27	113.283			1031.2316	0.0109852141846701	10.9852141846701	R1_J16_Bd
Rep1	16	2	28	95.671			1031.2316	0.00927735340926325	9.27735340926325	R1_J16_Bd
Rep1	16	2	29	112.539			1031.2316	0.0109130674428518	10.9130674428518	R1_J16_Bd
Rep1	16	2	30	102.416			1031.2316	0.0099314256855589	9.9314256855589	R1_J16_Bd
Rep1	16	2	31	100.125			1031.2316	0.00970926414590088	9.70926414590088	R1_J16_Bd
Rep1	16	2	32	74.33			1031.2316	0.00720788618192072	7.20788618192072	R1_J16_Bd
Rep1	16	2	33	100.424			1031.2316	0.00973825860262622	9.73825860262622	R1_J16_Bd
Rep1	16	2	34	77.666			1031.2316	0.00753138286297666	7.53138286297666	R1_J16_Bd
Rep1	16	2	35	84.694			1031.2316	0.00821289805316284	8.21289805316284	R1_J16_Bd
Rep1	16	2	36	67.956			1031.2316	0.00658979030510702	6.58979030510702	R1_J16_Bd
Rep1	16	2	37	115.209			1031.2316	0.0111719811534092	11.1719811534092	R1_J16_Bd
Rep1	16	2	38	80.505			1031.2316	0.0078066847447266	7.8066847447266	R1_J16_Bd
Rep1	16	2	39	98.433			1031.2316	0.00954518849112071	9.54518849112072	R1_J16_Bd
Rep1	16	2	40	107.07			1031.2316	0.0103827307076315	10.3827307076315	R1_J16_Bd
Rep1	16	2	41	71.701			1031.2316	0.00695294829987754	6.95294829987754	R1_J16_Bd
Rep1	16	2	42	109.128			1031.2316	0.0105822979047578	10.5822979047578	R1_J16_Bd
Rep1	16	2	43	105.171			1031.2316	0.0101985819674261	10.1985819674261	R1_J16_Bd
Rep1	16	2	44	74.465			1031.2316	0.00722097732458936	7.22097732458935	R1_J16_Bd
Rep1	16	2	45	96.255			1031.2316	0.00933398472273348	9.33398472273348	R1_J16_Bd
Rep1	16	2	46	98.082			1031.2316	0.00951115152018227	9.51115152018227	R1_J16_Bd
Rep1	16	2	47	91.285			1031.2316	0.00885203672967353	8.85203672967353	R1_J16_Bd
Rep1	16	2	48	92.704			1031.2316	0.00898963918483491	8.98963918483491	R1_J16_Bd
Rep1	16	2	49	76.42			1031.2316	0.00741055646471656	7.41055646471656	R1_J16_Bd
Rep1	16	2	50	93.723			1031.2316	0.00908845306912628	9.08845306912628	R1_J16_Bd
Rep1	16	2	51	107.541			1031.2316	0.010428404249831	10.428404249831	R1_J16_Bd
Rep1	16	2	52	77.026			1031.2316	0.00746932114958463	7.46932114958463	R1_J16_Bd
Rep1	16	2	53	79.511			1031.2316	0.00771029514611461	7.71029514611461	R1_J16_Bd
Rep1	16	2	54	112.805			1031.2316	0.0109388618424804	10.9388618424804	R1_J16_Bd
Rep1	16	2	55	106.452			1031.2316	0.0103228023656374	10.3228023656374	R1_J16_Bd
Rep1	16	2	56	72.201			1031.2316	0.00700143401346506	7.00143401346506	R1_J16_Bd
Rep1	16	2	57	63.159			1031.2316	0.00612461836894835	6.12461836894835	R1_J16_Bd
Rep1	16	2	58	115.169			1031.2316	0.0111681022963222	11.1681022963222	R1_J16_Bd
Rep1	16	2	59	52			1031.2316	0.00504251421310208	5.04251421310208	R1_J16_Bd
Rep1	16	2	60	64.498			1031.2316	0.00625446310993573	6.25446310993573	R1_J16_Bd
Rep1	16	2	61	96.083			1031.2316	0.00931730563725937	9.31730563725937	R1_J16_Bd
Rep1	16	2	62	75.166			1031.2316	0.00728895429503906	7.28895429503906	R1_J16_Bd
Rep1	16	2	63	107.713			1031.2316	0.0104450833353051	10.4450833353051	R1_J16_Bd
Rep1	16	2	64	71.589			1031.2316	0.00694208750003394	6.94208750003394	R1_J16_Bd
Rep1	16	2	65	80.777			1031.2316	0.00783306097291821	7.83306097291821	R1_J16_Bd
Rep1	16	2	66	92.136			1031.2316	0.00893455941419949	8.93455941419949	R1_J16_Bd
Rep1	16	2	67	83.054			1031.2316	0.00805386491259577	8.05386491259577	R1_J16_Bd
Rep1	16	2	68	82.329			1031.2316	0.00798356062789387	7.98356062789387	R1_J16_Bd
Rep1	16	2	69	113.159			1031.2316	0.0109731897277004	10.9731897277004	R1_J16_Bd
Rep1	16	2	70	99.02			1031.2316	0.00960211071887246	9.60211071887246	R1_J16_Bd
Rep1	16	2	71	70.838			1031.2316	0.00686926195822548	6.86926195822548	R1_J16_Bd
Rep1	16	2	72	59.956			1031.2316	0.0058140188877067	5.8140188877067	R1_J16_Bd
Rep1	16	2	73	73.926			1031.2316	0.00716870972534201	7.16870972534201	R1_J16_Bd
Rep1	16	3	1	91.198			1031.2316	0.0088436002155093	8.8436002155093	R1_J16_Bd
Rep1	16	3	2	121.491			1031.2316	0.0117811556589228	11.7811556589228	R1_J16_Bd
Rep1	16	3	3	103.465			1031.2316	0.0100331487126655	10.0331487126655	R1_J16_Bd
Rep1	16	3	4	121.84			1031.2316	0.0118149986870069	11.8149986870069	R1_J16_Bd
Rep1	16	3	5	99.925			1031.2316	0.00968986986046587	9.68986986046587	R1_J16_Bd
Rep1	16	3	6	108.301			1031.2316	0.010502102534484	10.502102534484	R1_J16_Bd
Rep1	16	3	7	102.181			1031.2316	0.00990863740017276	9.90863740017276	R1_J16_Bd
Rep1	16	3	8	84.149			1031.2316	0.00816004862535244	8.16004862535244	R1_J16_Bd
Rep1	16	3	9	97.801			1031.2316	0.00948390254914609	9.48390254914609	R1_J16_Bd
Rep1	16	3	10	88.233			1031.2316	0.00855607993393531	8.5560799339353	R1_J16_Bd
Rep1	16	3	11	124.201			1031.2316	0.0120439482265671	12.0439482265671	R1_J16_Bd
Rep1	16	3	12	86.925			1031.2316	0.00842924130719035	8.42924130719035	R1_J16_Bd
Rep1	16	3	13	85.586			1031.2316	0.00829939656620297	8.29939656620297	R1_J16_Bd
Rep1	16	3	14	91.241			1031.2316	0.00884776998687783	8.84776998687783	R1_J16_Bd
Rep1	16	3	15	105.38			1031.2316	0.0102188489957057	10.2188489957057	R1_J16_Bd
