Run	Date	Well	Well_Type	dR_Last	Threshold_dR	Ct_dR	Quantity_copies	RSq_dR	Slope_dR	Efficiency_percent
Bact_3-12_Rep2	19-Nov-20	G10	Unknown	32835.135	5191.145	15.15	1.28E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G11	Unknown	34951.145	5191.145	12.06	1.05E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G12	Unknown	39119.389	5191.145	16.42	5.41E+05	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H2	Unknown	39490.616	5191.145	22.84	6.94E+03	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H3	Unknown	35870.982	5191.145	27.42	3.09E+02	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H4	Unknown	-1627.896	5191.145	NA	NA	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H5	Unknown	36746.753	5191.145	13.29	4.55E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H6	Unknown	37137.269	5191.145	13.83	3.15E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H8	Unknown	39809.692	5191.145	15.77	8.44E+05	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H9	Unknown	34180.584	5191.145	11.66	1.37E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H10	Unknown	36968.802	5191.145	20.61	3.16E+04	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H11	Unknown	32684.014	5191.145	10.69	2.65E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H12	Unknown	39870.949	5191.145	13.43	4.14E+06	0.997	-3.391	97.2
Bd_1-11_Rep1	17-Nov-20	B3	NTC	55250.393	8203.069	32.37	4.71	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C5	NTC	57214.758	8203.069	32.89	3.22	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D2	NTC	55839.647	8203.069	33.81	1.61	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E3	NTC	56901.833	8203.069	32.96	3.05	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G8	NTC	56586.895	8203.069	32.83	3.36	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A6	Standard	52449.584	8203.069	11.53	1.95E+07	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B6	Standard	49654.583	8203.069	14.79	1.95E+06	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C6	Standard	54340.894	8203.069	18.08	1.95E+05	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D6	Standard	55691.308	8203.069	21.34	1.95E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E6	Standard	56768.589	8203.069	25.12	1.95E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F6	Standard	56386.505	8203.069	28.35	1.95E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G6	Standard	56520.268	8203.069	31.3	1.95E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H6	Standard	55742.249	8203.069	31.73	1.95E+00	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A1	Unknown	54801.529	8203.069	23.84	2.79E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A2	Unknown	54435.565	8203.069	27.75	1.50E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A3	Unknown	51955.676	8203.069	27.1	2.44E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A4	Unknown	55883.371	8203.069	29.99	2.81E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A5	Unknown	56747.827	8203.069	23.78	2.92E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A7	Unknown	55690.249	8203.069	20.18	4.30E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A8	Unknown	55502.076	8203.069	25.3	9.39E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A9	Unknown	54893.891	8203.069	25.93	5.86E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A10	Unknown	55670.372	8203.069	20.65	3.03E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A11	Unknown	56140.75	8203.069	28.2	1.07E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	A12	Unknown	55821.214	8203.069	25.28	9.51E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B1	Unknown	57283.768	8203.069	29.53	3.96E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B2	Unknown	55188.61	8203.069	19.23	8.77E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B4	Unknown	56604.508	8203.069	25.19	1.02E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B5	Unknown	56342.736	8203.069	28.36	9.48E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B7	Unknown	55030.583	8203.069	27.51	1.79E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B8	Unknown	55965.017	8203.069	29.31	4.65E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B9	Unknown	57228.908	8203.069	24.41	1.82E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B10	Unknown	56371.385	8203.069	25.64	7.26E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B11	Unknown	57152.6	8203.069	21.47	1.64E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	B12	Unknown	55686.188	8203.069	24.79	1.37E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C1	Unknown	56760.953	8203.069	14.55	2.91E+06	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C2	Unknown	56024.66	8203.069	23.49	3.62E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C3	Unknown	55277.772	8203.069	28.85	6.56E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C4	Unknown	47130.579	8203.069	26.93	2.78E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C7	Unknown	57211.922	8203.069	19.11	9.57E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C8	Unknown	57024.255	8203.069	29.55	3.91E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C9	Unknown	55169.973	8203.069	21.62	1.47E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C10	Unknown	55190.251	8203.069	21.34	1.81E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C11	Unknown	51362.863	8203.069	30.26	2.30E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	C12	Unknown	55415.964	8203.069	22.15	9.86E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D1	Unknown	55016.699	8203.069	21.64	1.45E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D3	Unknown	55660.126	8203.069	22.2	9.48E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D4	Unknown	50431.988	8203.069	21.28	1.89E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D5	Unknown	56379.79	8203.069	32.21	5.33	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D7	Unknown	56753.638	8203.069	23.93	2.61E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D8	Unknown	55991.347	8203.069	26.18	4.85E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D9	Unknown	55420.784	8203.069	19.75	5.96E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D10	Unknown	56323.527	8203.069	18.41	1.62E+05	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D11	Unknown	54473.438	8203.069	25.13	1.07E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	D12	Unknown	52960.262	8203.069	25.41	8.60E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E1	Unknown	26246.317	8203.069	26.73	3.21E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E2	Unknown	55799.701	8203.069	26.9	2.84E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E4	Unknown	56637.791	8203.069	21.24	1.96E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E5	Unknown	56405.265	8203.069	24.15	2.21E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E7	Unknown	55429.146	8203.069	19.81	5.69E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E8	Unknown	53924.698	8203.069	28.7	7.34E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E9	Unknown	55155.122	8203.069	19.67	6.33E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E10	Unknown	55959.072	8203.069	23.24	4.36E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E11	Unknown	54534.945	8203.069	27.3	2.10E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	E12	Unknown	55376.328	8203.069	22.6	7.05E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F1	Unknown	51720.891	8203.069	27.93	1.31E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F2	Unknown	52766.947	8203.069	17.91	2.35E+05	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F3	Unknown	54945.371	8203.069	26	5.56E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F4	Unknown	55581.88	8203.069	20.75	2.82E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F5	Unknown	54480.563	8203.069	29.46	4.17E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F7	Unknown	56555.3	8203.069	27.1	2.44E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F8	Unknown	56500.53	8203.069	19.59	6.73E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F9	Unknown	57348.858	8203.069	24.4	1.83E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F10	Unknown	56693.236	8203.069	25.48	8.18E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F11	Unknown	56539.604	8203.069	22.74	6.34E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	F12	Unknown	55794.094	8203.069	26.02	5.45E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G1	Unknown	58804.881	8203.069	27.14	2.36E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G2	Unknown	56418.364	8203.069	21.08	2.19E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G3	Unknown	54043.668	8203.069	28.81	6.77E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G4	Unknown	57269.355	8203.069	27.86	1.38E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G5	Unknown	55501.519	8203.069	27.24	2.19E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G7	Unknown	55207.441	8203.069	26.64	3.44E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G9	Unknown	55310.375	8203.069	31.15	1.18E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G10	Unknown	56089.524	8203.069	19.89	5.36E+04	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G11	Unknown	55702.714	8203.069	26.24	4.64E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	G12	Unknown	52172.332	8203.069	33.13	2.68	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H1	Unknown	46251.857	8203.069	27.01	2.61E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H2	Unknown	55189.396	8203.069	23.78	2.92E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H3	Unknown	56233.761	8203.069	22.97	5.36E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H4	Unknown	51839.78	8203.069	27.41	1.93E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H5	Unknown	56498.995	8203.069	28.31	9.82E+01	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H7	Unknown	57146.831	8203.069	34.02	1.38	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H8	Unknown	55601.411	8203.069	27.53	1.77E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H9	Unknown	55976.939	8203.069	23.71	3.08E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H10	Unknown	56041.192	8203.069	24.99	1.18E+03	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H11	Unknown	56358.04	8203.069	25.97	5.66E+02	0.985	-3.079	111.2
Bd_1-11_Rep1	17-Nov-20	H12	Unknown	54424.605	8203.069	25.92	5.90E+02	0.985	-3.079	111.2
Bd_1-11_Rep2	18-Nov-20	A10	NTC	43.89	7783.313	NA	NA	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B11	NTC	54901.66	7783.313	43.52	1.06E-02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C2	NTC	54453.931	7783.313	37.1	7.23E-01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D1	NTC	44058.827	7783.313	40.14	9.82E-02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E11	NTC	54915.478	7783.313	35.2	2.52	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F10	NTC	54523.315	7783.313	40.07	1.02E-01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G8	NTC	-43.91	7783.313	NA	NA	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H9	NTC	337.594	7783.313	NA	NA	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H12	NTC	54147.979	7783.313	36.81	8.75E-01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A7	Standard	48475.636	7783.313	8	1.95E+08	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B7	Standard	49510.297	7783.313	11.22	1.95E+07	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C7	Standard	54012.93	7783.313	14.33	1.95E+06	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D7	Standard	52700.585	7783.313	17.83	1.95E+05	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E7	Standard	55367.238	7783.313	21.23	1.95E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F7	Standard	55319.307	7783.313	24.87	1.95E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G7	Standard	55873.454	7783.313	28.33	1.95E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H7	Standard	56795.575	7783.313	32.81	1.95E+01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A1	Unknown	53531.753	7783.313	20.72	3.43E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A2	Unknown	52971.255	7783.313	29.17	1.33E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A3	Unknown	55143.987	7783.313	20.2	4.82E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A4	Unknown	55331.839	7783.313	24.52	2.83E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A5	Unknown	53691.881	7783.313	27.6	3.73E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A6	Unknown	54509.121	7783.313	23.08	7.28E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A8	Unknown	29835.937	7783.313	27.63	3.64E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A9	Unknown	54370.283	7783.313	27.49	3.99E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A11	Unknown	55082.749	7783.313	21.47	2.09E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	A12	Unknown	54845.847	7783.313	24.81	2.33E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B1	Unknown	54939.423	7783.313	28.16	2.57E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B2	Unknown	54181.609	7783.313	19.86	6.05E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B3	Unknown	54696.273	7783.313	24.37	3.11E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B4	Unknown	54430.542	7783.313	25.53	1.46E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B5	Unknown	55356.835	7783.313	22.9	8.16E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B6	Unknown	55099.435	7783.313	25.88	1.16E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B8	Unknown	51759.115	7783.313	27.72	3.44E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B9	Unknown	54198.461	7783.313	17.47	2.91E+05	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B10	Unknown	55106.439	7783.313	26.03	1.05E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	B12	Unknown	52898.182	7783.313	31.26	3.36E+01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C1	Unknown	46956.588	7783.313	31.72	2.49E+01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C3	Unknown	54875.804	7783.313	31.55	2.78E+01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C4	Unknown	54811.403	7783.313	19.54	7.43E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C5	Unknown	55082.144	7783.313	25.71	1.29E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C6	Unknown	51921.676	7783.313	31.58	2.72E+01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C8	Unknown	55596.209	7783.313	23.29	6.33E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C9	Unknown	55286.666	7783.313	20.49	4.00E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C10	Unknown	51805.497	7783.313	29.02	1.47E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C11	Unknown	54870.152	7783.313	27.55	3.84E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	C12	Unknown	14729.788	7783.313	40.87	6.05E-02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D2	Unknown	53734.986	7783.313	27.63	3.65E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D3	Unknown	53583.656	7783.313	23.46	5.66E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D4	Unknown	54575.648	7783.313	24.43	3.00E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D5	Unknown	54716.396	7783.313	25.4	1.58E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D6	Unknown	54733.65	7783.313	25.13	1.89E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D8	Unknown	43737.825	7783.313	26.38	8.30E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D9	Unknown	55120.309	7783.313	23.49	5.56E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D10	Unknown	55368.464	7783.313	22.73	9.16E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D11	Unknown	51284.086	7783.313	27.59	3.75E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	D12	Unknown	54538.267	7783.313	29.03	1.45E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E1	Unknown	1397.909	7783.313	NA	NA	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E2	Unknown	54420.697	7783.313	25.17	1.84E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E3	Unknown	54458.91	7783.313	25.38	1.60E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E4	Unknown	54698.134	7783.313	20.07	5.27E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E5	Unknown	55140.166	7783.313	27.61	3.70E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E6	Unknown	54986.044	7783.313	24.79	2.36E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E8	Unknown	54848.972	7783.313	23.18	6.79E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E9	Unknown	53993.293	7783.313	27.09	5.22E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E10	Unknown	51690.545	7783.313	26.85	6.11E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	E12	Unknown	55118.89	7783.313	26.51	7.62E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F1	Unknown	50412.068	7783.313	24.38	3.09E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F2	Unknown	54294.951	7783.313	29.1	1.39E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F3	Unknown	54225.406	7783.313	24.13	3.66E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F4	Unknown	54280.599	7783.313	25.2	1.80E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F5	Unknown	54872.554	7783.313	21.09	2.69E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F6	Unknown	55023.821	7783.313	24.45	2.95E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F8	Unknown	54437.237	7783.313	29.11	1.38E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F9	Unknown	55068.684	7783.313	18.24	1.75E+05	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F11	Unknown	55365.088	7783.313	24.78	2.38E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	F12	Unknown	55245.613	7783.313	31.36	3.15E+01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G1	Unknown	55282.616	7783.313	20.09	5.19E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G2	Unknown	55412.516	7783.313	29.67	9.56E+01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G3	Unknown	54463.53	7783.313	21.59	1.94E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G4	Unknown	54699.974	7783.313	21.27	2.39E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G5	Unknown	51172.545	7783.313	30.35	6.09E+01	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G6	Unknown	55142.361	7783.313	22.08	1.40E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G9	Unknown	55489.271	7783.313	22.99	7.69E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G10	Unknown	54907.472	7783.313	28.44	2.14E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G11	Unknown	45911.437	7783.313	27.24	4.73E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	G12	Unknown	55360.747	7783.313	23.9	4.25E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H1	Unknown	53668.721	7783.313	25.11	1.92E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H2	Unknown	54887.464	7783.313	28.27	2.41E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H3	Unknown	54455.45	7783.313	20.99	2.87E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H4	Unknown	54546.454	7783.313	21.56	1.97E+04	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H5	Unknown	54155.106	7783.313	25.95	1.10E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H6	Unknown	51916.715	7783.313	26.99	5.55E+02	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H8	Unknown	55836.28	7783.313	23.75	4.68E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H10	Unknown	55634.679	7783.313	22.97	7.82E+03	0.998	-3.503	93
Bd_1-11_Rep2	18-Nov-20	H11	Unknown	50244.36	7783.313	22.71	9.29E+03	0.998	-3.503	93
Bd_lastrow	17-Nov-20	C4	NTC	54508.797	6113.388	39.18	2.40E-01	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	H3	NTC	51825.86	6113.388	39.26	2.28E-01	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	A3	Standard	59717.38	6113.388	14.64	2.60E+06	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	B3	Standard	52143.783	6113.388	18.31	2.60E+05	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	C3	Standard	54666.014	6113.388	20.42	2.60E+04	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	D3	Standard	55055.137	6113.388	25.22	2.60E+03	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	E3	Standard	55096.673	6113.388	29.55	2.60E+02	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	F3	Standard	55652.727	6113.388	31.49	2.60E+01	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	G3	Standard	255.224	6113.388	NA	NA	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	A1	Unknown	-5230.994	6113.388	14.04	3.52E+06	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	A2	Unknown	53616.73	6113.388	21.86	2.08E+04	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	A4	Unknown	54426.495	6113.388	28.39	2.86E+02	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	B1	Unknown	53266.578	6113.388	7.97	1.90E+08	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	B2	Unknown	6113.388	6113.388	NA	NA	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	B4	Unknown	53166.544	6113.388	24.98	2.69E+03	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	C1	Unknown	49515.151	6113.388	11.59	1.76E+07	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	C2	Unknown	52438.906	6113.388	29.79	1.14E+02	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	D1	Unknown	51098.387	6113.388	14.95	1.94E+06	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	D2	Unknown	55442.548	6113.388	27.68	4.56E+02	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	D4	Unknown	55523.52	6113.388	22.88	1.06E+04	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	E1	Unknown	52069.823	6113.388	18.84	1.51E+05	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	E2	Unknown	53173.679	6113.388	23.3	8.08E+03	0.988	-3.508	92.8
