Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 1	R	 3	 3	SYBR	  1	    63857	62.1
 1	R	 3	 3	SYBR	  1	    63816	62.2
 1	R	 3	 3	SYBR	  1	    63751	62.2
 1	R	 3	 3	SYBR	  1	    63748	62.3
 1	R	 3	 3	SYBR	  1	    63843	62.6
 1	R	 3	 3	SYBR	  1	    63819	62.6
 1	R	 3	 3	SYBR	  1	    63850	62.7
 1	R	 3	 3	SYBR	  1	    63924	62.8
 1	R	 3	 3	SYBR	  1	    64023	63.0
 1	R	 3	 3	SYBR	  1	    63934	63.2
 1	R	 3	 3	SYBR	  1	    64000	63.2
 1	R	 3	 3	SYBR	  1	    63933	63.3
 1	R	 3	 3	SYBR	  1	    63871	63.5
 1	R	 3	 3	SYBR	  1	    63951	63.6
 1	R	 3	 3	SYBR	  1	    63830	63.7
 1	R	 3	 3	SYBR	  1	    63927	63.7
 1	R	 3	 3	SYBR	  1	    63857	64.0
 1	R	 3	 3	SYBR	  1	    63927	64.0
 1	R	 3	 3	SYBR	  1	    63935	64.2
 1	R	 3	 3	SYBR	  1	    63870	64.2
 1	R	 3	 3	SYBR	  1	    63838	64.5
 1	R	 3	 3	SYBR	  1	    63925	64.5
 1	R	 3	 3	SYBR	  1	    63839	64.7
 1	R	 3	 3	SYBR	  1	    63811	64.7
 1	R	 3	 3	SYBR	  1	    63800	65.0
 1	R	 3	 3	SYBR	  1	    63939	65.0
 1	R	 3	 3	SYBR	  1	    63789	65.2
 1	R	 3	 3	SYBR	  1	    63751	65.2
 1	R	 3	 3	SYBR	  1	    63772	65.5
 1	R	 3	 3	SYBR	  1	    63851	65.5
 1	R	 3	 3	SYBR	  1	    63754	65.7
 1	R	 3	 3	SYBR	  1	    63622	65.7
 1	R	 3	 3	SYBR	  1	    63776	66.0
 1	R	 3	 3	SYBR	  1	    63680	66.0
 1	R	 3	 3	SYBR	  1	    63669	66.2
 1	R	 3	 3	SYBR	  1	    63575	66.2
 1	R	 3	 3	SYBR	  1	    63592	66.4
 1	R	 3	 3	SYBR	  1	    63559	66.5
 1	R	 3	 3	SYBR	  1	    63615	66.7
 1	R	 3	 3	SYBR	  1	    63488	66.7
 1	R	 3	 3	SYBR	  1	    63488	66.9
 1	R	 3	 3	SYBR	  1	    63317	67.0
 1	R	 3	 3	SYBR	  1	    63421	67.2
 1	R	 3	 3	SYBR	  1	    63387	67.2
 1	R	 3	 3	SYBR	  1	    63373	67.4
 1	R	 3	 3	SYBR	  1	    63335	67.5
 1	R	 3	 3	SYBR	  1	    63206	67.5
 1	R	 3	 3	SYBR	  1	    63319	67.7
 1	R	 3	 3	SYBR	  1	    63282	67.9
 1	R	 3	 3	SYBR	  1	    63226	68.0
 1	R	 3	 3	SYBR	  1	    63128	68.0
 1	R	 3	 3	SYBR	  1	    63159	68.2
 1	R	 3	 3	SYBR	  1	    63149	68.4
 1	R	 3	 3	SYBR	  1	    63054	68.5
 1	R	 3	 3	SYBR	  1	    63060	68.5
 1	R	 3	 3	SYBR	  1	    63012	68.7
 1	R	 3	 3	SYBR	  1	    63044	68.7
 1	R	 3	 3	SYBR	  1	    62952	69.0
 1	R	 3	 3	SYBR	  1	    63002	69.0
 1	R	 3	 3	SYBR	  1	    62902	69.2
 1	R	 3	 3	SYBR	  1	    62798	69.2
 1	R	 3	 3	SYBR	  1	    62767	69.4
 1	R	 3	 3	SYBR	  1	    62882	69.5
 1	R	 3	 3	SYBR	  1	    62787	69.7
 1	R	 3	 3	SYBR	  1	    62706	69.7
 1	R	 3	 3	SYBR	  1	    62744	70.0
 1	R	 3	 3	SYBR	  1	    62653	70.0
