Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
1	R	3	2	SYBR	1	58196	82.2
1	R	3	2	SYBR	1	58202	82.4
1	R	3	2	SYBR	1	58105	82.5
1	R	3	2	SYBR	1	57987	82.7
1	R	3	2	SYBR	1	57847	82.7
1	R	3	2	SYBR	1	57940	82.9
1	R	3	2	SYBR	1	57970	83
1	R	3	2	SYBR	1	57785	83.2
1	R	3	2	SYBR	1	57770	83.2
1	R	3	2	SYBR	1	57707	83.4
1	R	3	2	SYBR	1	57649	83.5
1	R	3	2	SYBR	1	57475	83.5
1	R	3	2	SYBR	1	57629	83.7
1	R	3	2	SYBR	1	57336	83.9
1	R	3	2	SYBR	1	57522	84
1	R	3	2	SYBR	1	57352	84
1	R	3	2	SYBR	1	57323	84.2
1	R	3	2	SYBR	1	57240	84.4
1	R	3	2	SYBR	1	57152	84.5
1	R	3	2	SYBR	1	57136	84.5
1	R	3	2	SYBR	1	56959	84.7
1	R	3	2	SYBR	1	56880	84.7
1	R	3	2	SYBR	1	56874	85
1	R	3	2	SYBR	1	56918	85
1	R	3	2	SYBR	1	56628	85.2
1	R	3	2	SYBR	1	56549	85.2
1	R	3	2	SYBR	1	56483	85.4
1	R	3	2	SYBR	1	56247	85.5
1	R	3	2	SYBR	1	56136	85.7
1	R	3	2	SYBR	1	55917	85.7
1	R	3	2	SYBR	1	55697	85.9
1	R	3	2	SYBR	1	55528	86
1	R	3	2	SYBR	1	55038	86.2
1	R	3	2	SYBR	1	54586	86.2
1	R	3	2	SYBR	1	53925	86.4
1	R	3	2	SYBR	1	53167	86.5
1	R	3	2	SYBR	1	52043	86.7
1	R	3	2	SYBR	1	51183	86.7
1	R	3	2	SYBR	1	50461	86.9
1	R	3	2	SYBR	1	49748	87
1	R	3	2	SYBR	1	48688	87
1	R	3	2	SYBR	1	47507	87.2
1	R	3	2	SYBR	1	46002	87.2
1	R	3	2	SYBR	1	44386	87.4
1	R	3	2	SYBR	1	41567	87.5
1	R	3	2	SYBR	1	39017	87.7
1	R	3	2	SYBR	1	36121	87.7
1	R	3	2	SYBR	1	33119	87.9
1	R	3	2	SYBR	1	30236	88
1	R	3	2	SYBR	1	27745	88.2
1	R	3	2	SYBR	1	25597	88.2
1	R	3	2	SYBR	1	23813	88.4
1	R	3	2	SYBR	1	22419	88.5
1	R	3	2	SYBR	1	21591	88.7
1	R	3	2	SYBR	1	20944	88.7
1	R	3	2	SYBR	1	20411	88.9
1	R	3	2	SYBR	1	19745	89
