Well 	Well Type 	R Last 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
  F6 	  Unknown 	 63263 	55023.821 	      7783.313 	  24.45 	       2.945e+003 	   0.998 	    -3.503 	          93.0 	
  F7 	 Standard 	 64521 	55319.307 	      7783.313 	  24.87 	        1.95e+003 	   0.998 	    -3.503 	          93.0 	
  F8 	  Unknown 	 64312 	54437.237 	      7783.313 	  29.11 	       1.377e+002 	   0.998 	    -3.503 	          93.0 	
  F9 	  Unknown 	 64838 	55068.684 	      7783.313 	  18.24 	       1.745e+005 	   0.998 	    -3.503 	          93.0 	
 F10 	      NTC 	 62757 	54523.315 	      7783.313 	  40.07 	       1.024e-001 	   0.998 	    -3.503 	          93.0 	
 F11 	  Unknown 	 63938 	55365.088 	      7783.313 	  24.78 	       2.375e+003 	   0.998 	    -3.503 	          93.0 	
 F12 	  Unknown 	 61980 	55245.613 	      7783.313 	  31.36 	       3.145e+001 	   0.998 	    -3.503 	          93.0 	
  G1 	  Unknown 	 62894 	55282.616 	      7783.313 	  20.09 	       5.186e+004 	   0.998 	    -3.503 	          93.0 	
  G2 	  Unknown 	 63587 	55412.516 	      7783.313 	  29.67 	       9.555e+001 	   0.998 	    -3.503 	          93.0 	
  G3 	  Unknown 	 64053 	54463.530 	      7783.313 	  21.59 	       1.941e+004 	   0.998 	    -3.503 	          93.0 	
  G4 	  Unknown 	 64148 	54699.974 	      7783.313 	  21.27 	       2.392e+004 	   0.998 	    -3.503 	          93.0 	
  G5 	  Unknown 	 64155 	51172.545 	      7783.313 	  30.35 	       6.093e+001 	   0.998 	    -3.503 	          93.0 	
  G6 	  Unknown 	 63917 	55142.361 	      7783.313 	  22.08 	       1.402e+004 	   0.998 	    -3.503 	          93.0 	
  G7 	 Standard 	 63762 	55873.454 	      7783.313 	  28.33 	        1.95e+002 	   0.998 	    -3.503 	          93.0 	
  G8 	      NTC 	  7658 	  -43.910 	      7783.313 	  No Ct 	            No Ct 	   0.998 	    -3.503 	          93.0 	
  G9 	  Unknown 	 63774 	55489.271 	      7783.313 	  22.99 	       7.687e+003 	   0.998 	    -3.503 	          93.0 	
 G10 	  Unknown 	 63510 	54907.472 	      7783.313 	  28.44 	       2.142e+002 	   0.998 	    -3.503 	          93.0 	
 G11 	  Unknown 	 62846 	45911.437 	      7783.313 	  27.24 	       4.729e+002 	   0.998 	    -3.503 	          93.0 	
 G12 	  Unknown 	 62062 	55360.747 	      7783.313 	  23.90 	       4.250e+003 	   0.998 	    -3.503 	          93.0 	
  H1 	  Unknown 	 60066 	53668.721 	      7783.313 	  25.11 	       1.919e+003 	   0.998 	    -3.503 	          93.0 	
  H2 	  Unknown 	 62815 	54887.464 	      7783.313 	  28.27 	       2.405e+002 	   0.998 	    -3.503 	          93.0 	
  H3 	  Unknown 	 63104 	54455.450 	      7783.313 	  20.99 	       2.865e+004 	   0.998 	    -3.503 	          93.0 	
  H4 	  Unknown 	 63152 	54546.454 	      7783.313 	  21.56 	       1.973e+004 	   0.998 	    -3.503 	          93.0 	
  H5 	  Unknown 	 63186 	54155.106 	      7783.313 	  25.95 	       1.098e+003 	   0.998 	    -3.503 	          93.0 	
  H6 	  Unknown 	 62994 	51916.715 	      7783.313 	  26.99 	       5.549e+002 	   0.998 	    -3.503 	          93.0 	
  H7 	 Standard 	 63888 	56795.575 	      7783.313 	  32.81 	        1.95e+001 	   0.998 	    -3.503 	          93.0 	
  H8 	  Unknown 	 63629 	55836.280 	      7783.313 	  23.75 	       4.681e+003 	   0.998 	    -3.503 	          93.0 	
  H9 	      NTC 	  7031 	  337.594 	      7783.313 	  No Ct 	            No Ct 	   0.998 	    -3.503 	          93.0 	
 H10 	  Unknown 	 62989 	55634.679 	      7783.313 	  22.97 	       7.821e+003 	   0.998 	    -3.503 	          93.0 	
 H11 	  Unknown 	 62877 	50244.360 	      7783.313 	  22.71 	       9.289e+003 	   0.998 	    -3.503 	          93.0 	
 H12 	      NTC 	 60398 	54147.979 	      7783.313 	  36.81 	       8.748e-001 	   0.998 	    -3.503 	          93.0 	
