SampleID	B_JarID	DateStart	Rep	Inhibitory	RichLevel	introRich	CV	CV_sd	qPCR_log10_bact	qPCR_bact_sd	qPCR_bact_lwr_95_total	qPCR_bact_upr_95_total	B_obsRich	B_shannon	B_pielou	B_inhibRich	B_inhibReads	B_inhibProp	B_inhibRichFrac	A_JarID	qPCR_log10_Bd	qPCR_Bd_sd	qPCR_Bd_lwr_95_total	qPCR_Bd_upr_95_total	Micro_Bd_density	Micro_Bd_density_sd	Micro_Bd_truezero	clouds_present	pinpricks_present	Micro_Bd_meansize	Micro_Bd_meansize_sd	Micro_Bd_medsize	A_obsRich	shannon_mergedASV	pielou_mergedASV	A_inhibRich	inhibReads	inhibProp	A_inhibRichFrac
Non_2020-09-28_1_Rep10	21	2020-09-28	Rep10	Non	1	1	0.00894444444444445	0.00441902452785429	1.43189508512358	0.0763832184517643	0.730548578393212	2.13324159185394	3	0.957555696374223	0.871604756519796	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-28_3_Rep10	10	2020-09-28	Rep10	Non	3	3	1.02461111111111	0.0134484612915795	6.08394698085419	0.133298480105858	5.38260047412383	6.78529348758456	3	0.424762800264845	0.386635762812922	0	0	0	0	27	1.56330040031687	0.518383913876077	0.86195389358651	2.26464690704724	0	0	TRUE	FALSE	FALSE	NA	NA	NA	2	NA	NA	0	0	0	0
Non_2020-09-28_10_Rep10	22	2020-09-28	Rep10	Non	10	10	0.892611111111111	0.00498609176721716	5.91246550481089	0.00227358046979598	5.21111899808053	6.61381201154125	5	1.03944123027268	0.645841148790037	0	0	0	0	6	1.87663079778369	0.402290283593488	1.17528429105333	2.57797730451406	0	0	FALSE	FALSE	FALSE	5.247172410155	0.811674759701063	4.98636775676773	4	NA	NA	0	0	0	0
Con_2020-10-05_0_Rep11	15	2020-10-05	Rep11	Con	0	0	0.00361111111111112	0.000927960727138337	1.53486278988903	0.148358351330635	0.833516283158665	2.23620929661939	0	0	0	0	0	0	0	2	2.50657598611867	0.492480656654701	1.80522947938831	3.20792249284903	1120.04323066591	942.573423922688	FALSE	FALSE	TRUE	10.4551369135387	3.10430829525725	10.3195053371134	0	NA	NA	0	0	0	0
Inhib_2020-10-05_1_Rep11	6	2020-10-05	Rep11	Inhib	1	1	1.08994444444444	0.0147488229285519	5.16176680404828	0.253473009165274	4.46042029731792	5.86311331077864	1	0	NA	0	0	0	0	8	2.13294252537344	0.544475063658589	1.43159601864308	2.83428903210381	0	0	FALSE	FALSE	FALSE	NA	NA	NA	1	NA	NA	0	0	0	0
Inhib_2020-10-05_3_Rep11	4	2020-10-05	Rep11	Inhib	3	2	1.05827777777778	0.0172586532241398	5.22179365167912	0.0356084475897633	4.52044714494875	5.92314015840948	2	0.671134537189557	0.968242468572683	1	65664	0.395475734470422	0.5	11	1.06940563843447	0.0783339205166373	0.368059131704105	1.77075214516483	0	0	FALSE	FALSE	FALSE	NA	NA	NA	2	NA	NA	1	0.398167878561543	0.399545895423684	0.5
Inhib_2020-10-05_10_Rep11	13	2020-10-05	Rep11	Inhib	10	9	0.257277777777778	0.00456739653534824	5.539807666558	0.107888641465745	4.83846115982763	6.24115417328836	2	0.615149049178106	0.887472482656815	1	104914	0.305130688444681	0.5	26	1.99097631189426	0.297103708500587	1.2896298051639	2.69232281862463	6.40596664545291	14.9652886454455	FALSE	FALSE	TRUE	4.44112166461928	1.87550810965338	4.18994142537913	2	NA	NA	1	0.323131253678634	0.375688816855753	0.5
Non_2020-10-05_1_Rep11	16	2020-10-05	Rep11	Non	1	1	0.0179444444444444	0.00123603308118261	3.43228516016659	0.0649134054226289	2.73093865343623	4.13363166689695	1	0	NA	0	0	0	0	21	4.46014484849236	0.539687906750393	3.75879834176199	5.16149135522272	307.48639898174	548.725754914967	FALSE	FALSE	TRUE	4.43992846151146	0.985172766617229	4.45748559295506	2	NA	NA	1	0.202984375522768	0.211165639901153	0.5
Non_2020-10-05_3_Rep11	28	2020-10-05	Rep11	Non	3	3	0.0399444444444444	0.00123603308118261	5.53893396604352	0.0545272964991393	4.83758745931315	6.24028047277388	3	0.767090349365763	0.698235726359602	1	252078	0.731458052834393	0.333333333333333	25	2.78541803853632	0.255593706408062	2.08407153180596	3.48676454526669	123.314857924968	264.20582377787	FALSE	FALSE	TRUE	4.06969259320176	0.891029522975887	4.01582922788634	3	NA	NA	1	0.675844260370905	0.682620329912272	0.333333333333333
Non_2020-10-05_10_Rep11	10	2020-10-05	Rep11	Non	10	9	0.891611111111111	0.00899228064014412	6.12707984771346	0.129402820006801	5.4257333409831	6.82842635444383	4	1.1817124728095	0.852425362139449	1	624974	0.468087464845169	0.25	24	1.4815668495322	0.339248657868674	0.780220342801838	2.18291335626256	0	0	TRUE	FALSE	FALSE	NA	NA	NA	4	NA	NA	1	0.325259515570934	0.325911087140766	0.25
